Date,Open,High,Low,Close,Adj Close,Volume
2022-06-24,1.298710,1.299920,1.290030,1.298710,1.298710,0
2022-06-27,1.289710,1.291540,1.286300,1.289710,1.289710,0
2022-06-28,1.286900,1.289380,1.281880,1.286900,1.286900,0
2022-06-29,1.287300,1.289830,1.284420,1.287300,1.287300,0
2022-06-30,1.288330,1.293150,1.286530,1.288330,1.288330,0
2022-07-01,1.287370,1.296470,1.286660,1.287370,1.287370,0
2022-07-04,1.288600,1.290200,1.283700,1.288600,1.288600,0
2022-07-05,1.285730,1.308300,1.284340,1.285730,1.285730,0
2022-07-06,1.303480,1.307670,1.301190,1.303480,1.303480,0
2022-07-07,1.303400,1.305370,1.296480,1.303400,1.303400,0
2022-07-08,1.296600,1.303400,1.293600,1.296600,1.296600,0
2022-07-11,1.294700,1.304940,1.294910,1.294700,1.294700,0
2022-07-12,1.299480,1.304930,1.299100,1.299480,1.299480,0
2022-07-13,1.303130,1.305940,1.293630,1.303130,1.303130,0
2022-07-14,1.300090,1.322150,1.297000,1.300090,1.300090,0
2022-07-15,1.310800,1.313460,1.301550,1.310800,1.310800,0
2022-07-18,1.300940,1.302400,1.290030,1.300940,1.300940,0
2022-07-19,1.298130,1.298710,1.288500,1.298130,1.298130,0
2022-07-20,1.287090,1.290500,1.285300,1.287090,1.287090,0
2022-07-21,1.288300,1.293560,1.285800,1.288300,1.288300,0
2022-07-22,1.287800,1.289570,1.282440,1.287800,1.287800,0
2022-07-25,1.292460,1.294450,1.284270,1.292460,1.292460,0
2022-07-26,1.285070,1.289620,1.281720,1.285070,1.285070,0
2022-07-27,1.287370,1.289900,1.284500,1.287370,1.287370,0
2022-07-28,1.281710,1.286630,1.279550,1.281710,1.281710,0
2022-07-29,1.280700,1.285370,1.278940,1.280700,1.280700,0
2022-08-01,1.279400,1.282090,1.277800,1.281490,1.281490,0
